Ext.1(Strain)	Stress	
%	        N/mm2
0.233436	184.4175
0.2336042	184.5999
0.2351599	184.7625
0.2372791	184.9604
0.2388432	185.1236
0.239415	185.3262
0.2388264	185.5007
0.2391712	185.6903
0.2411137	185.852
0.2420808	186.0566
0.2451334	186.2192
0.2464369	186.4197
0.2473115	186.5974
0.2465378	186.7828
0.2484299	186.9585
0.2500277	187.1434
0.2511545	187.3086
0.2518609	187.4889
0.2538455	187.6376
0.2547622	187.8417
0.2523823	187.9717
0.2541399	188.18
0.2568477	188.3592
0.2569402	188.5125
0.2590173	188.6918
0.2593201	188.8814
0.2618092	189.0228
0.2643741	189.2243
0.2640209	189.3823
0.2660896	189.5615
0.2680406	189.718
0.2704288	189.8884
0.2708913	190.0568
0.2716818	190.2106
0.2704709	190.4043
0.2734983	190.5525
0.2747849	190.71
0.2751381	190.8804
0.2755586	191.0472
0.2788298	191.2068
0.2784009	191.3627
0.2786532	191.5067
0.2781066	191.6922
0.2850023	191.8486
0.2852882	192.0237
0.2853891	192.1765
0.281832	192.3407
0.2836736	192.4816
0.2880886	192.6599
0.2906198	192.8246
0.2902498	192.9717
0.292638	193.124
0.294589	193.297
0.2957831	193.4529
0.2972295	193.5804
0.2955561	193.7498
0.2974902	193.8938
0.2995337	194.0595
0.2992226	194.2129
0.3048989	194.359
0.3007783	194.5107
0.30558	194.6801
0.3051344	194.8257
0.306749	194.9879
0.3100202	195.135
0.3083972	195.2971
0.3116012	195.4349
0.3106173	195.567
0.3109705	195.726
0.3127196	195.8732
0.3132999	195.9996
0.318993	196.1772
0.3187828	196.2948
0.3188416	196.4678
0.3222811	196.5917
0.3255523	196.7352
0.3259644	196.9113
0.3272174	197.0511
0.3257878	197.192
0.3282602	197.3381
0.3294711	197.4915
0.3326919	197.6376
0.3343233	197.7764
0.3361986	197.9333
0.336577	198.0561
0.3390662	198.2094
0.3405126	198.3431
0.3396212	198.4944
0.3400585	198.6228
0.3416815	198.758
0.3460039	198.9067
0.3464244	199.0253
0.3486108	199.1709
0.3494938	199.2947
0.3511925	199.432
0.351655	199.5858
0.3533958	199.7159
0.3552459	199.8407
0.3567764	199.9889
0.3567848	200.1329
0.3581471	200.2748
0.3602242	200.3986
0.3628227	200.524
0.3611745	200.6711
0.3639496	200.8048
0.3638486	200.9524
0.3685915	201.0695
0.3683224	201.1953
0.3712068	201.3306
0.3718712	201.4383
0.3727626	201.5823
0.3738558	201.7284
0.3765804	201.8475
0.377926	201.9864
0.3798517	202.1138
0.382467	202.2687
0.3817859	202.4008
0.38335	202.5132
0.3842498	202.6582
0.3829043	202.7624
0.3876388	202.9074
0.3898252	203.024
0.3908848	203.1623
0.3935085	203.2835
0.3937692	203.4187
0.3954511	203.5316
0.3980748	203.6632
0.397175	203.7948
0.4008079	203.9227
0.4009424	204.0549
0.4028009	204.175
0.4047183	204.2745
0.4056937	204.4232
0.4083427	204.5387
0.4110169	204.663
0.4112439	204.8226
0.4148936	204.9329
0.4151543	205.0624
0.4171389	205.1671
0.4158354	205.2903
0.4175425	205.4188
0.4178453	205.5286
0.4189301	205.6405
0.4210829	205.7742
0.4238664	205.9109
0.4254642	206.0337
0.4252623	206.1471
0.4297782	206.2534
0.4286345	206.3839
0.4290045	206.5108
0.4309807	206.6362
0.4318973	206.7719
0.4346977	206.877
0.4338651	207.0071
0.4379689	207.1345
0.4393649	207.2433
0.4421904	207.351
0.4438051	207.5002
0.4457308	207.5961
0.4458149	207.7121
0.446866	207.8085
0.4487329	207.9447
0.4520883	208.055
0.452534	208.1628
0.4530217	208.2949
0.4550147	208.3985
0.4564696	208.5425
